English,Karaoké,Thaï
No ,mâi chai,ไม่ใช่
You pluriel,phûak tĕr,พวกเธอ 
They ,phûak khăo,พวกเขา 
To hear ,dâi-yin,ได้ยิน
Book ,nangsue,หนังสือ
Food ,āhān,อาหาร
Garlic ,krathiam,กระเทียม
Onion ,hûa-hxm,หัวหอม
Lemongrass ,dtakhrai,ตะไคร้
Coriander ,phak-chii,ผักชี
Cumin ,phrik-thai,พริกไทย
Coconut milk ,kathi,กะทิ
Sugar ,nam-dtān,น้ำตาล
Flour ,kăao-phx̀t,ข้าวโพด
Baking powder ,bpm-nak,ปั๊มหนัก
Baking soda ,sx-diiam,โซเดียม
Oil ,nam-mun,น้ำมัน
Soy sauce ,sii-iu,ซีอิ๊ว
Fish sauce ,nam-plaa,น้ำปลา
Vinegar ,nam-som,น้ำส้ม
Nose ,chamûuk,จมูก
Chest ,nâa-xk,หน้าอก
Hip ,sà-phxk,สะโพก
Doctor ,pháet-y,แพทย์
Police ,dtam-rxwt,ตำรวจ
Policeman ,dtam-rxwt,ตำรวจ
Army ,thahan,ทหาร
Soldier ,thahan,ทหาร
Lawyer ,thnay-khwam,ทนายความ
Pilot ,nak-bin,นักบิน
Singer ,nak-rxwng,นักร้อง
Dancer ,nak-dtên,นักเต้น
Clothes ,suea-phaa,เสื้อผ้า
Pants ,kang-kxng,กางเกง
Dress ,dèr-sà,เดรส
Parents ,phx-mâe,พ่อแม่
Train ,rót-fai,รถไฟ
Plane ,khrueang-bin,เครื่องบิน
To feel ,rûu-sèuk,รู้สึก
What ,à-rai,อะไร
When ,meúa-rai,เมื่อไร
Where ,tîi-nai,ที่ไหน
Why ,tam-mai,ทำไม
How ,yàang-rai,อย่างไร
To work ,tam-ngaan,ทำงาน
Phone ,tôr-sap,โทรศัพท์
-1,Lop neung,!ไม่  ๑
1,bouak neung,บวก  ๑
*2,khroun sang,คูณ  ๒
11,sip-et,๑๑
20,yi-sip,ยี่สิบ
100,neung roï,๑๐๐
because,phrá(-wà),เพราะว่า
so,dang-nán,ดังนั้น
